title,id,details,pages,text_file
War Service Homes : report of the Director of War Service Homes.,nla.obj-2771824489,"Collection 1963/1964, PP no. 94 of 1964",32,war-service-homes-report-of-the-director-of-war-se-collection-1963-1964-pp-no-94-of-1964-nla.obj-2771824489.txt
War Service Homes : report of the Director of War Service Homes.,nla.obj-2771824696,"Collection 1964/1965, PP no. 219 of 1965",28,war-service-homes-report-of-the-director-of-war-se-collection-1964-1965-pp-no-219-of-1965-nla.obj-2771824696.txt
War Service Homes : report of the Director of War Service Homes.,nla.obj-306661163,Collection 1966-67,31,war-service-homes-report-of-the-director-of-war-se-collection-1966-67-nla.obj-306661163.txt
War Service Homes : report of the Director of War Service Homes.,nla.obj-2771824905,"Collection 1965/1966, PP no. 333 of 1966",30,war-service-homes-report-of-the-director-of-war-se-collection-1965-1966-pp-no-333-of-1966-nla.obj-2771824905.txt
Report [on] high speed steel drill rod (Dumping and subsidies act) 8 June 1967.,nla.obj-840876226,Collection PP no. 154 of 1967,34,report-on-high-speed-steel-drill-rod-dumping-and-s-collection-pp-no-154-of-1967-nla.obj-840876226.txt
War Service Homes : report of the Director of War Service Homes.,nla.obj-2772514758,"Collection 1967/1968 (Report and financial statements), PP no. 183 of 1968",30,war-service-homes-report-of-the-director-of-war-se-collection-1967-1968-report-and-financial-statemen-nla.obj-2772514758.txt
War Service Homes : report of the Director of War Service Homes.,nla.obj-2771748175,"Collection 1968/1969 (Report and financial statements), PP no. 182 of 1969",32,war-service-homes-report-of-the-director-of-war-se-collection-1968-1969-report-and-financial-statemen-nla.obj-2771748175.txt
War Service Homes : report of the Director of War Service Homes.,nla.obj-306665322,Collection 1970-71,29,war-service-homes-report-of-the-director-of-war-se-collection-1970-71-nla.obj-306665322.txt
War Service Homes : report of the Director of War Service Homes.,nla.obj-1360654494,"Collection 1969/1970 (Report and financial statements with Auditor-Generals report), PP no. 201 of 1970",32,war-service-homes-report-of-the-director-of-war-se-collection-1969-1970-report-and-financial-statemen-nla.obj-1360654494.txt
War Service Homes : report of the Director of War Service Homes.,nla.obj-2771841524,"Collection 1970/1971 (Report and financial statements with Auditor-Generals report), PP no. 247 of 1971",24,war-service-homes-report-of-the-director-of-war-se-collection-1970-1971-report-and-financial-statemen-nla.obj-2771841524.txt
War Service Homes : report of the Director of War Service Homes.,nla.obj-2062540906,"Collection 1971/1972, PP no. 188 of 1972",30,war-service-homes-report-of-the-director-of-war-se-collection-1971-1972-pp-no-188-of-1972-nla.obj-2062540906.txt
