title,id,details,pages,text_file
"The Literary news : a review and magazine of fact and fiction; the arts, sciences and belles lettres.",nla.obj-831028678,Collection  Vol. 1 No. 1 (12 August 1837),10,the-literary-news-a-review-and-magazine-of-fact-an-collection-vol-1-no-1-12-august-1837-nla.obj-831028678.txt
"The Literary news : a review and magazine of fact and fiction; the arts, sciences and belles lettres.",nla.obj-831039895,Collection  Vol. 1 No. 2 (19 August 1837),10,the-literary-news-a-review-and-magazine-of-fact-an-collection-vol-1-no-2-19-august-1837-nla.obj-831039895.txt
"The Literary news : a review and magazine of fact and fiction; the arts, sciences and belles lettres.",nla.obj-832020580,Collection Vol. 1 No. 3 (26 August 1837),12,the-literary-news-a-review-and-magazine-of-fact-an-collection-vol-1-no-3-26-august-1837-nla.obj-832020580.txt
"The Literary news : a review and magazine of fact and fiction; the arts, sciences and belles lettres.",nla.obj-832020601,Collection Vol. 1 No. 4 (2 September 1837),8,the-literary-news-a-review-and-magazine-of-fact-an-collection-vol-1-no-4-2-september-1837-nla.obj-832020601.txt
"The Literary news : a review and magazine of fact and fiction; the arts, sciences and belles lettres.",nla.obj-832020625,Collection Vol. 1 No. 5 (9 September 1837),12,the-literary-news-a-review-and-magazine-of-fact-an-collection-vol-1-no-5-9-september-1837-nla.obj-832020625.txt
"The Literary news : a review and magazine of fact and fiction; the arts, sciences and belles lettres.",nla.obj-832020649,Collection Vol. 1 No. 6 (16 September 1837),8,the-literary-news-a-review-and-magazine-of-fact-an-collection-vol-1-no-6-16-september-1837-nla.obj-832020649.txt
"The Literary news : a review and magazine of fact and fiction; the arts, sciences and belles lettres.",nla.obj-832020663,Collection Vol. 1 No. 7 (23 September 1837),12,the-literary-news-a-review-and-magazine-of-fact-an-collection-vol-1-no-7-23-september-1837-nla.obj-832020663.txt
"The Literary news : a review and magazine of fact and fiction; the arts, sciences and belles lettres.",nla.obj-832020682,Collection Vol. 1 No. 8 (30 September 1837),8,the-literary-news-a-review-and-magazine-of-fact-an-collection-vol-1-no-8-30-september-1837-nla.obj-832020682.txt
"The Literary news : a review and magazine of fact and fiction; the arts, sciences and belles lettres.",nla.obj-832020706,Collection Vol. 1 No. 9 (7 October 1837),12,the-literary-news-a-review-and-magazine-of-fact-an-collection-vol-1-no-9-7-october-1837-nla.obj-832020706.txt
"The Literary news : a review and magazine of fact and fiction; the arts, sciences and belles lettres.",nla.obj-832020722,Collection Vol. 1 No. 10 (14 October 1837),8,the-literary-news-a-review-and-magazine-of-fact-an-collection-vol-1-no-10-14-october-1837-nla.obj-832020722.txt
"The Literary news : a review and magazine of fact and fiction; the arts, sciences and belles lettres.",nla.obj-832020740,Collection Vol. 1 No. 11 (21 October 1837),12,the-literary-news-a-review-and-magazine-of-fact-an-collection-vol-1-no-11-21-october-1837-nla.obj-832020740.txt
